,JS_divergence
401,0.44087452
402,0.28035432
403,0.14435029
404,0.12717345
405,0.31414104
406,0.5442372
407,0.51539433
408,0.15179044
409,0.20612189
410,0.16214718
411,0.13996267
412,0.5079683
413,0.24424997
414,0.48313653
415,0.21829632
416,0.47068447
417,0.3068683
418,0.30949402
419,0.1676381
420,0.37979558
421,0.29453123
422,0.15308155
423,0.2300673
424,0.1947576
425,0.14956132
426,0.16847679
427,0.2958802
428,0.25781846
429,0.47557354
430,0.20776007
431,0.27095512
432,0.43892854
433,0.1359537
434,0.14014265
435,0.5375189
436,0.18459637
437,0.31310835
438,0.34299847
439,0.23302963
440,0.42728603
441,0.29732782
442,0.23639609
443,0.16239983
444,0.48521408
445,0.55300623
446,0.16260955
447,0.32841018
448,0.28467277
449,0.25883383
450,0.23393658
451,0.14269873
452,0.22182477
453,0.19794832
454,0.10418767
455,0.51106995
456,0.26996213
457,0.27727792
458,0.5306877
459,0.18570709
460,0.4981584
461,0.28462005
462,0.22783515
463,0.2730164
464,0.147065
465,0.14393616
466,0.41442308
467,0.30777422
468,0.47084862
469,0.3026715
470,0.44082254
471,0.36830315
472,0.26394343
473,0.14604409
474,0.5322302
475,0.54560596
476,0.3103801
477,0.1434406
478,0.4904429
479,0.15298076
480,0.31926054
481,0.22973022
482,0.15042114
483,0.47798097
484,0.48010582
485,0.1468852
486,0.38148022
487,0.26601374
488,0.16927406
489,0.24310865
490,0.29925537
491,0.28949127
492,0.15635669
493,0.420227
494,0.20556873
495,0.11510611
496,0.1784541
497,0.4370706
498,0.26440582
499,0.46894386
500,0.19407481
501,0.2819991
502,0.3034134
503,0.22041717
504,0.13549498
505,0.13270177
506,0.44356853
507,0.34806448
508,0.2792874
509,0.26362777
510,0.35430902
511,0.22962555
512,0.32506505
513,0.15491995
514,0.54744554
515,0.47633153
516,0.15595245
517,0.36787552
518,0.16995612
519,0.110833496
520,0.20176679
521,0.25338098
522,0.15815364
523,0.19413495
524,0.14542675
525,0.25703022
526,0.16671783
527,0.36357287
528,0.16107023
529,0.27909684
530,0.12132269
531,0.16816062
